effect,component,group,term,estimate,std.error,statistic,p.value,model
ran_pars,cond,aclew_child_id,sd__(Intercept),2.1894006226720244e-5,NA,NA,NA,TCDS_random_log_gaus
ran_pars,cond,Residual,sd__Observation,0.7932671481687917,NA,NA,NA,TCDS_random_log_gaus
fixed,cond,NA,(Intercept),0.9809470386268472,0.12100797300851722,8.106466162835424,5.211322264317204e-16,TCDS_random_log_gaus.v2
fixed,cond,NA,tchiyr.std,0.075702927448678,0.13023027467470563,0.5813005281434889,0.561037924720723,TCDS_random_log_gaus.v2
fixed,cond,NA,stthr.tri.amidday,-0.0908857508862605,0.21385066915687362,-0.4249963362031371,0.6708393455907558,TCDS_random_log_gaus.v2
fixed,cond,NA,stthr.tri.amorning,0.30845909040578895,0.1978915172803503,1.558728209500759,0.11906072209354177,TCDS_random_log_gaus.v2
fixed,cond,NA,hsz.std,-0.1123134820832051,0.08886572593296567,-1.2638560131487233,0.20628171226300587,TCDS_random_log_gaus.v2
fixed,cond,NA,nsk.std,0.030820142401307024,0.08882642877513515,0.34697040989150285,0.7286135489199832,TCDS_random_log_gaus.v2
fixed,cond,NA,tchiyr.std:stthr.tri.amidday,0.40684278561560705,0.21689442125265052,1.8757641771786018,0.060687669017094076,TCDS_random_log_gaus.v2
fixed,cond,NA,tchiyr.std:stthr.tri.amorning,0.02084074596825833,0.21704856675318385,0.0960188140378615,0.9235056301603848,TCDS_random_log_gaus.v2
fixed,cond,NA,tchiyr.std:nsk.std,-0.025680038974899667,0.07849100048862578,-0.327171762559212,0.7435379768751021,TCDS_random_log_gaus.v2
ran_pars,cond,aclew_child_id,sd__(Intercept),2.754165661028578e-5,NA,NA,NA,TCDS_random_log_gaus.v2
ran_pars,cond,Residual,sd__Observation,0.7932671425781935,NA,NA,NA,TCDS_random_log_gaus.v2
fixed,cond,NA,(Intercept),2.3889733959656643,0.25269134802170845,9.454116314898245,3.257618772280666e-21,TCDS_turntaking_nb
fixed,cond,NA,tchiyr.std,-0.6283485128434124,0.27006990003065057,-2.3266143793591967,0.019985798527680836,TCDS_turntaking_nb
fixed,cond,NA,stthr.trimorning,0.21896173128832214,0.2839038813850657,0.7712530389513732,0.44055696178055725,TCDS_turntaking_nb
fixed,cond,NA,stthr.triafternoon,0.3375569029133765,0.27312376403279237,1.2359118735374781,0.21649132300157536,TCDS_turntaking_nb
fixed,cond,NA,hsz.std,-0.020327370361591265,0.07660873153774979,-0.26534012446838035,0.7907474570484792,TCDS_turntaking_nb
fixed,cond,NA,nsk.std,-0.04456711299938723,0.08565353499703317,-0.5203184317019832,0.6028416513438226,TCDS_turntaking_nb
fixed,cond,NA,tchiyr.std:stthr.trimorning,0.53279619258041655,0.2818427905468023,1.8904020626063927,0.05870420777800688,TCDS_turntaking_nb
fixed,cond,NA,tchiyr.std:stthr.triafternoon,0.6050879407893411,0.278670982418766,2.1713345807927,0.029905890107961502,TCDS_turntaking_nb
fixed,cond,NA,tchiyr.std:nsk.std,-0.15095009019314762,0.11158339952282906,-1.3528006033035807,0.17611933998354068,TCDS_turntaking_nb
ran_pars,cond,aclew_child_id,sd__(Intercept),4.809208576679624e-5,NA,NA,NA,TCDS_turntaking_nb
fixed,cond,NA,(Intercept),2.7265303233528235,0.11435704278383446,23.842259794236707,1.21830202549583e-125,TCDS_turntaking_nb.v2
fixed,cond,NA,tchiyr.std,-0.023260608944948278,0.1312477792695992,-0.1772266858486657,0.8593303351625283,TCDS_turntaking_nb.v2
fixed,cond,NA,stthr.tri.amidday,-0.33755698741596213,0.2731237729954594,-1.235912142373538,0.21649122306146074,TCDS_turntaking_nb.v2
fixed,cond,NA,stthr.tri.amorning,-0.11859521988208951,0.17254364740861353,-0.687334605841705,0.4918718962494453,TCDS_turntaking_nb.v2
fixed,cond,NA,hsz.std,-0.02032737949468792,0.0766087301882895,-0.2653402483597775,0.790747361616733,TCDS_turntaking_nb.v2
fixed,cond,NA,nsk.std,-0.044567150629493145,0.08565353580428034,-0.5203188661274857,0.6028413486059351,TCDS_turntaking_nb.v2
fixed,cond,NA,tchiyr.std:stthr.tri.amidday,-0.6050880271809932,0.2786710060006056,-2.171334707061983,0.029905880570013463,TCDS_turntaking_nb.v2
fixed,cond,NA,tchiyr.std:stthr.tri.amorning,-0.07229170979190902,0.17299038194538754,-0.41789438799395945,0.6760243358576252,TCDS_turntaking_nb.v2
fixed,cond,NA,tchiyr.std:nsk.std,-0.15095006723624727,0.11158340012157254,-1.3528003903070158,0.17611940804765322,TCDS_turntaking_nb.v2
ran_pars,cond,aclew_child_id,sd__(Intercept),4.6304380929570435e-5,NA,NA,NA,TCDS_turntaking_nb.v2
fixed,cond,NA,(Intercept),2.3243396200857385,0.239951459562417,9.686707571291615,3.4342105005700536e-22,TCDS_turntaking_log_gaus
fixed,cond,NA,tchiyr.std,-0.8438348520186535,0.24510768001899808,-3.4427107790063887,5.759148714047357e-4,TCDS_turntaking_log_gaus
fixed,cond,NA,stthr.trimorning,0.20961111474992364,0.29126725650396934,0.7196521753452472,0.47173917888920824,TCDS_turntaking_log_gaus
fixed,cond,NA,stthr.triafternoon,0.35975981458364475,0.2650002363831206,1.3575829949959997,0.1745960418425991,TCDS_turntaking_log_gaus
